total_stop_events,observed_vehicles,completed_vehicles,average_stops_per_observed_vehicle,average_stops_per_completed_vehicle,average_travel_time_seconds,policy,algorithm,seed,mean_delay_seconds,travel_time_proxy_seconds,mean_queue,duration_seconds,scenario,episode,policy_label
15,4,298,3.75,,120.0,independent_qplf,Independent Learner - QPLF,19,17.550336,137.550336,8.716667,600,scenario1_low_demand,12,Independent Learner - QPLF
14,4,334,3.5,,185.0,independent_qplf,Independent Learner - QPLF,20,26.973054,146.973054,15.015,600,scenario1_low_demand,13,Independent Learner - QPLF
18,4,282,4.5,,185.0,independent_qplf,Independent Learner - QPLF,21,24.971631,144.971631,11.736667,600,scenario1_low_demand,14,Independent Learner - QPLF
18,4,303,4.5,,160.0,independent_qplf,Independent Learner - QPLF,22,34.706271,154.706271,17.526667,600,scenario1_low_demand,15,Independent Learner - QPLF
12,4,311,3.0,,140.0,independent_qplf,Independent Learner - QPLF,23,27.102894,147.102894,14.048333,600,scenario1_low_demand,16,Independent Learner - QPLF
12,4,296,3.0,,135.0,independent_qplf,Independent Learner - QPLF,24,21.581081,141.581081,10.646667,600,scenario1_low_demand,17,Independent Learner - QPLF
20,4,294,5.0,,200.0,independent_qplf,Independent Learner - QPLF,25,25.129252,145.129252,12.313333,600,scenario1_low_demand,18,Independent Learner - QPLF
16,4,282,4.0,,225.0,independent_qplf,Independent Learner - QPLF,26,39.20922,159.20922,18.428333,600,scenario1_low_demand,19,Independent Learner - QPLF
14,4,276,3.5,,185.0,independent_qplf,Independent Learner - QPLF,27,32.442029,152.442029,14.923333,600,scenario1_low_demand,20,Independent Learner - QPLF
15,4,303,3.75,,145.0,independent_qplf,Independent Learner - QPLF,28,21.874587,141.874587,11.046667,600,scenario1_low_demand,21,Independent Learner - QPLF
15,4,296,3.75,,165.0,independent_qplf,Independent Learner - QPLF,29,50.462838,170.462838,24.895,600,scenario1_low_demand,22,Independent Learner - QPLF
8,4,257,2.0,,265.0,independent_qplf,Independent Learner - QPLF,30,59.548638,179.548638,25.506667,600,scenario1_low_demand,23,Independent Learner - QPLF
18,4,260,4.5,,200.0,independent_qplf,Independent Learner - QPLF,31,34.992308,154.992308,15.163333,600,scenario1_low_demand,24,Independent Learner - QPLF
13,4,296,3.25,,160.0,independent_qplf,Independent Learner - QPLF,32,17.206081,137.206081,8.488333,600,scenario1_low_demand,25,Independent Learner - QPLF
17,4,245,4.25,,227.5,independent_qplf,Independent Learner - QPLF,33,31.804082,151.804082,12.986667,600,scenario1_low_demand,26,Independent Learner - QPLF
20,4,282,5.0,,157.5,independent_qplf,Independent Learner - QPLF,34,19.72695,139.72695,9.271667,600,scenario1_low_demand,27,Independent Learner - QPLF
11,4,322,2.75,,122.5,independent_qplf,Independent Learner - QPLF,35,28.127329,148.127329,15.095,600,scenario1_low_demand,28,Independent Learner - QPLF
19,4,298,4.75,,150.0,independent_qplf,Independent Learner - QPLF,36,25.550336,145.550336,12.69,600,scenario1_low_demand,29,Independent Learner - QPLF
30,4,297,7.5,,125.0,independent_qplf,Independent Learner - QPLF,37,21.023569,141.023569,10.406667,600,scenario1_low_demand,30,Independent Learner - QPLF
17,4,297,4.25,,137.5,independent_qplf,Independent Learner - QPLF,38,45.289562,165.289562,22.418333,600,scenario1_low_demand,31,Independent Learner - QPLF
13,4,344,3.25,,120.0,independent_qplf,Independent Learner - QPLF,39,38.09593,158.09593,21.841667,600,scenario1_low_demand,32,Independent Learner - QPLF
27,4,323,6.75,,127.5,independent_qplf,Independent Learner - QPLF,40,27.089783,147.089783,14.583333,600,scenario1_low_demand,33,Independent Learner - QPLF
31,4,280,7.75,,202.5,independent_qplf,Independent Learner - QPLF,41,21.017857,141.017857,9.808333,600,scenario1_low_demand,34,Independent Learner - QPLF
30,4,290,7.5,,125.0,independent_qplf,Independent Learner - QPLF,42,13.489655,133.489655,6.52,600,scenario1_low_demand,35,Independent Learner - QPLF
31,4,314,7.75,,130.0,independent_qplf,Independent Learner - QPLF,43,30.019108,150.019108,15.71,600,scenario1_low_demand,36,Independent Learner - QPLF
18,4,284,4.5,,240.0,independent_qplf,Independent Learner - QPLF,44,36.669014,156.669014,17.356667,600,scenario1_low_demand,37,Independent Learner - QPLF
35,4,300,8.75,,137.5,independent_qplf,Independent Learner - QPLF,45,17.716667,137.716667,8.858333,600,scenario1_low_demand,38,Independent Learner - QPLF
8,4,319,2.0,,147.5,independent_qplf,Independent Learner - QPLF,46,59.532915,179.532915,31.651667,600,scenario1_low_demand,39,Independent Learner - QPLF
24,4,281,6.0,,185.0,independent_qplf,Independent Learner - QPLF,47,14.483986,134.483986,6.783333,600,scenario1_low_demand,40,Independent Learner - QPLF
22,4,280,5.5,,155.0,independent_qplf,Independent Learner - QPLF,48,28.992857,148.992857,13.53,600,scenario1_low_demand,41,Independent Learner - QPLF
24,4,333,6.0,,125.0,independent_qplf,Independent Learner - QPLF,49,38.531532,158.531532,21.385,600,scenario1_low_demand,42,Independent Learner - QPLF
25,4,264,6.25,,165.0,independent_qplf,Independent Learner - QPLF,50,23.943182,143.943182,10.535,600,scenario1_low_demand,43,Independent Learner - QPLF
